Species,Animal_ID,collar owners,Sex,Repro status1,Repro date1,Collar_ID,Collar ID,VHF,remote data code,remote drop off code,deploy_location,Patch ID,Color code (top-bottom),Schedule,Accelerometer,Collar deploy date,Collar drop-off initiate,collar recovery date,date death_fail_removal,Cause of death,Collar Model,Download Option,Drop-Off Option,CollarBeltingWidth,Est neck size cm,Iridium housing protection,Neck Shape,Estimated Collar Weight (g),Collar/Body Weight Ratio,Neck Size (cm),Body condition score (x/10),Hock toe length (cm),Est Weight (kg),Capture team,Time caught,Time released,Time in net,Struggling?,Panting?,Vocalising?,In box?,Time in box,Time out box,Processing start,Processing finish,Processing time,Struggling?,Panting?,Vocalising?,In box?,Time in box,Time out box,HR start,HR 5 min,HR 10 min,HR 15 min,HR 20 min,HR 25 min,RR start,RR 5 min,RR 10 min,RR 15 min,RR 20 min,RR 25 min,Temp start,Temp 5 min,Temp 10 min,Temp 15 min,Temp 20 min,Temp 25 min,Injuries/treatment,Drug ,Dose,Route,Time,Given by,Blood sample?,Ear tag left?,Deer number,Ear tag right?,Ear notch?,Tissue ethanol & labelled?,Notes
Roe deer,R1,UoG,F,,,7351,T3HS-7351,169,221382,196744,Gask Wood,1670,red-yellow,S2,,18-Feb-23,30-Oct-23,,30-Oct-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,26,6,36,,JB + MG + TM,11:40,11:44,4 min,a little,Yes,No,Yes,11:44,15:10,15:10,15:23,13 min,No,No,No,No,,,80,84,76,,,,20,20,16,,,,36.8,36.6,36.6,,,,"very calm, not vocal after ear notch",ACP,0.75 ml,I/M,11:42,TM,Yes,Yes,D9,,,,"Caught in a boggy ditch so deer did x a bit which might explain lower temperatures. Processing very smooth, ran off on release "
Roe deer,R2,UoG,F,,,7352,T3HS-7352,169.01,210944,207172,Gask Wood,1670,red-red,S2,,18-Feb-23,30-Oct-23,,02-Nov-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,27,7,36,,JB + MG + TM,11:40,12:00,20 min,a little,No,a little,Yes,12:00,14:33,14:35,14:38,13 min,No,No,No,No,,,104,100,100,,,,20,24,20,,,,38.8,39,38.8,,,,NA,ACP,0.75 ml,I/M,11:45,TM,Yes,,D8,,,,"Took ~ 15 - 20 minutes to get box from other side to where deer was. Processing smooth. Release good, deer ran off without problems"
Roe deer,R3,UoG,M,,,7353,T3HS-7353,169.02,258878,159232,Kings Garn,,,S7,,08-Feb-24,,,30-Mar-24,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,,,,25,TM + WM,10:30,10:40,10 min,a little,No,No,No,,,,,10 min,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,No,Very quick processing and response. Head at awkward angle while in the net
Roe deer,R4,UoG,F,,,7354,T3HS-7354,169.03,222345,195787,Gask Wood,1670,white-red,S2,,18-Feb-23,25-Oct-23,,26-Oct-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,27,7,34,,JB + MG + TM,11:15,11:20,5 min,a lot,Yes,a lot,Yes,11:20,14:00,14:05,14:18,13 min,No,No,No,No,,,100,72,76,,,,44,64,80,,,,38.7,38.7,38.8,,,,,ACP,0.75 ml,I/M,11:20,TM,Yes,Yes,D7,Yes,Yes,,Initially in box but after few minutes calmed down + was good for processing. Ran off fine on release + jumped small fence.
Roe deer,R5,UoG,F,,,7355,T3HS-7355,169.04,221699,196421,Muir of Dinnet,1897,yellow-blue,S1,,04-Feb-23,,11-Aug-23,18-May-23,unknown. Collar attached to carcass,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,26,6,34,,JB + TM + CM + MG,11:20,,5 min,a little,No,a little,No,,,,,,a little,No,a little,Yes,,,160,188,130,,,,30,,40,,,,38.7,39.1,38.5,,,,None,ACP,0.75 ml,I/M,11:25,JB,Yes,Yes,D5,Yes,Yes,Yes,Nicely x + quiet in box. Nice and quiet for handling. Foot caught in collar during release
Roe deer,R6,UoG,F,,,7356,T3HS-7356,169.05,258236,159870,Moss of air,1716,yellow-yellow,S3,,21-Jan-23,30-Oct-23,,01-Nov-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,,32,8,36,20-22,MG,11:15,,15 min,a little,Yes,a little,No,,,,,,a little,Yes,a little,No,,,,,,,,,,,,,,,41.3,,41.2,,,,No IVE,ACP,0.75 ml,I/M,11:20,MG,No,Yes,D1,Yes,Yes,Yes,"Processed immediately, not boxed"
Roe deer,R7,UoG,F,,,7357,T3HS-7357,169.06,261031,156491,Holly Hatch,,,S7,,15-Feb-24,09-Apr-24,09-Apr-24,09-Apr-24,dropp-off triggered,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,,,,25,TM + MG,11:30,11:55,25 min,a little,No,No,No,,,,,25 min,No,No,No,No,,,,,,,,,,,,,,,,,,,,,calm,,,,11:30,,No,No,,No,No,No,Restrained while beaters continued to finish beat. Carried off and released by FE keepers
Roe deer,R8,UoG,M,,,7358,T3HS-7358,169.07,271305,146829,Gask Wood,1670,blue-yellow,S2,,18-Feb-23,25-Oct-23,,28-Oct-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,26.5,6,35,,JB + MG + TM,12:35,12:50,15 min,a little,No,No,Yes,12:50,15:50,15:51,16:02,11 min,No,No,No,No,,,140,,108,,,,28,,28,,,,38.5,38.1,38.5,,,,NA,ACP,,,12:48,MG,Yes,,D10,,,,
Roe deer,R9,UoG,M,,,7359,T3HS-7359,169.03,209660,208448,Black Hillocks,2998,white,S2,,15-Feb-23,25-Oct-23,,30-Oct-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,29,7,,20,JB + MG,12:20,12:23,3 min,a lot,Yes,a lot,Yes,12:30,14:30,14:32,14:52,17 min,No,No,No,No,,,,136,100,84,,,20,24,20,20,,,38.9,39.2,39.3,39.3,,,"broken tip antler, stapled shin wound",ACP,0.75 ml,I/M,12:23,MG,Yes,,D6,,,,"Antler damage, may have happened as putting in box or soon after. Stayed in box quitely. Handling very smooth, minimal struggling. "
Roe deer,R10,UoG,F,,,7360,T3HS-7360,169.09,222024,196106,Muir of Dinnet,1897,yellow-yellow,S1,,04-Feb-23,30-Oct-23,,03-Nov-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,25,6,33,small,JB + TM + CM + MG,13:30,,23 min,a lot,Yes,No,,,,,,,a lot,Yes,No,Yes,20 min total,,170,110,,,,,150,170,,110,,,41.8,41.6,41.8,41.5,,,None,ACP,0.75 ml,I/M,13:30,JB,No,Yes,D4,Yes,Yes,Yes,"Processed immediately, deer quite stressed, panting +++, on release was trying to kick collar off, put back in box for 20 minutes, went out of box on its own, trotted off, neck size quite small."
