"Ptch_ID","normalized_cum_currmap","buffer","summaryMethod"
1939,1.46745558652776,0,"mean"
2331,1.44411355553342,0,"mean"
2226,1.20507640891129,0,"mean"
2765,1.41262951794113,0,"mean"
2034,1.23833262982045,0,"mean"
2290,1.35495311832146,0,"mean"
4209,1.1780209694078,0,"mean"
4210,1.18576945032077,0,"mean"
4262,1.35332263318196,0,"mean"
3953,2.00520938508191,0,"mean"
4341,1.22369281206518,0,"mean"
3222,1.5686761088665,0,"mean"
3633,1.69778435867297,0,"mean"
3311,1.2199429424566,0,"mean"
3213,1.414335769785,0,"mean"
4893,1.07180620112006,0,"mean"
5035,0.996047282473085,0,"mean"
5044,1.4209220569567,0,"mean"
5229,1.32204895368121,0,"mean"
5514,1.14752586637815,0,"mean"
5074,1.6576526042048,0,"mean"
3147,1.1226578216576,0,"mean"
3839,1.49882460398058,0,"mean"
3894,1.36929050983925,0,"mean"
4482,0.793323264555449,0,"mean"
5193,0.869935999380513,0,"mean"
4678,0.933579753170114,0,"mean"
4850,1.02428733259581,0,"mean"
4482,0.822444147996621,0,"mean"
5420,1.29033336741624,0,"mean"
1939,1.46745558652776,0,"mean"
2331,1.44411355553342,0,"mean"
2226,1.20507640891129,0,"mean"
2765,1.41262951794113,0,"mean"
2034,1.23833262982045,0,"mean"
2290,1.35495311832146,0,"mean"
4209,1.1780209694078,0,"mean"
4210,1.18576945032077,0,"mean"
4262,1.35332263318196,0,"mean"
3953,2.00520938508191,0,"mean"
4341,1.22369281206518,0,"mean"
3222,1.5686761088665,0,"mean"
3633,1.69778435867297,0,"mean"
3311,1.2199429424566,0,"mean"
3213,1.414335769785,0,"mean"
4893,1.07180620112006,0,"mean"
5035,0.996047282473085,0,"mean"
5044,1.4209220569567,0,"mean"
5229,1.32204895368121,0,"mean"
5514,1.14752586637815,0,"mean"
5074,1.6576526042048,0,"mean"
3147,1.1226578216576,0,"mean"
3839,1.49882460398058,0,"mean"
3894,1.36929050983925,0,"mean"
4482,0.793323264555449,0,"mean"
5193,0.869935999380513,0,"mean"
4678,0.933579753170114,0,"mean"
4850,1.02428733259581,0,"mean"
4482,0.822444147996621,0,"mean"
5420,1.29033336741624,0,"mean"
1939,1.07923146270277,750,"mean"
2331,0.961605437416075,750,"mean"
2226,0.891718704155734,750,"mean"
2765,0.968829022781281,750,"mean"
2034,0.845976974541791,750,"mean"
2290,0.951009079745799,750,"mean"
4209,0.939032390558483,750,"mean"
4210,0.974095817845622,750,"mean"
4262,0.957695044829466,750,"mean"
3953,0.988533755697471,750,"mean"
4341,1.05128239419786,750,"mean"
3222,1.03023500616853,750,"mean"
3633,0.955924354615679,750,"mean"
3311,0.800674824798375,750,"mean"
3213,0.871388150213225,750,"mean"
4893,0.978833762578179,750,"mean"
5035,0.906460248302107,750,"mean"
5044,0.85872513444093,750,"mean"
5229,0.792313509170709,750,"mean"
5514,0.820675688158713,750,"mean"
5074,0.957396754404439,750,"mean"
3147,1.03579086136993,750,"mean"
3839,1.10828338553193,750,"mean"
3894,0.882025553888714,750,"mean"
4482,0.803052440050731,750,"mean"
5193,0.752032706351664,750,"mean"
4678,0.812197955533466,750,"mean"
4850,0.912880119524623,750,"mean"
4482,0.761123852104898,750,"mean"
5420,0.79409317843838,750,"mean"
1939,1.07923146270277,750,"mean"
2331,0.961605437416075,750,"mean"
2226,0.891718704155734,750,"mean"
2765,0.968829022781281,750,"mean"
2034,0.845976974541791,750,"mean"
2290,0.951009079745799,750,"mean"
4209,0.939032390558483,750,"mean"
4210,0.974095817845622,750,"mean"
4262,0.957695044829466,750,"mean"
3953,0.988533755697471,750,"mean"
4341,1.05128239419786,750,"mean"
3222,1.03023500616853,750,"mean"
3633,0.955924354615679,750,"mean"
3311,0.800674824798375,750,"mean"
3213,0.871388150213225,750,"mean"
4893,0.978833762578179,750,"mean"
5035,0.906460248302107,750,"mean"
5044,0.85872513444093,750,"mean"
5229,0.792313509170709,750,"mean"
5514,0.820675688158713,750,"mean"
5074,0.957396754404439,750,"mean"
3147,1.03579086136993,750,"mean"
3839,1.10828338553193,750,"mean"
3894,0.882025553888714,750,"mean"
4482,0.803052440050731,750,"mean"
5193,0.752032706351664,750,"mean"
4678,0.812197955533466,750,"mean"
4850,0.912880119524623,750,"mean"
4482,0.761123852104898,750,"mean"
5420,0.79409317843838,750,"mean"
