"Animal_ID","variable","est","se","sig","variableType","colour","Animal_ID_colour"
"Roe15_F","Evergreen Needleleaf Forest",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe15_F</i>"
"Roe15_F","Cropland",0.40000013777945,0.121024203360324,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe15_F</i>"
"Roe15_F","Tall Grassland",0.097208278127821,0.0973691554807799,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe15_F</i>"
"Roe15_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe15_F</i>"
"Roe15_F","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe15_F</i>"
"Roe15_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe15_F</i>"
"Roe15_F","Permanent Wetland",-13.9209496817096,2064.33824356278,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe15_F</i>"
"Roe15_F","Human Settlements",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe15_F</i>"
"Roe15_F","Other",-13.5494130637373,1041.34118884555,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe15_F</i>"
"Roe15_F","Distance to Woodland",-0.0115274934420894,0.00149317037438634,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe15_F</i>"
"Roe15_F","Distance to Hedges",-0.00233759157108803,0.000295062017651089,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe15_F</i>"
"Roe15_F","Road Crossing",-1.32948186951454,0.203972343003562,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe15_F</i>"
"Roe15_F","sl_",0.00125436684767077,0.00035341063043868,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe15_F</i>"
"Roe15_F","log sl_ ",-0.0273339358998806,0.0425153332215108,"Not Significant","Step","#505050","<i style='color:#505050'>Roe15_F</i>"
"Roe15_F","cos ta_ ",-0.515551390879047,0.0351653721041396,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe15_F</i>"
"Roe14_M","Evergreen Needleleaf Forest",-0.35660793829421,0.142220277755156,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe14_M</i>"
"Roe14_M","Cropland",-2.57238853601894,0.305947490215191,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe14_M</i>"
"Roe14_M","Tall Grassland",-1.15357508307866,0.120180369834327,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe14_M</i>"
"Roe14_M","Short Grassland",-1.84633192043249,0.405092605215737,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe14_M</i>"
"Roe14_M","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe14_M</i>"
"Roe14_M","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe14_M</i>"
"Roe14_M","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe14_M</i>"
"Roe14_M","Human Settlements",-15.6869485695069,947.968439207751,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe14_M</i>"
"Roe14_M","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe14_M</i>"
"Roe14_M","Distance to Woodland",-0.00407866588169101,0.000600364646452623,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe14_M</i>"
