"Animal_ID","durationDays","nFixes","fixesPerDay","meanTimeLagHours"
"Fallow02_F",54.92,380,6.92,"3.48 ±1.98"
"Fallow07_F",13.75,102,7.42,"3.27 ±2.17"
"Roe01_F",252.5,1799,7.12,"3.37 ±1.49"
"Roe02_F",255.5,1805,7.06,"3.4 ±1.61"
"Roe03_M",49.88,305,6.11,"3.94 ±1.81"
"Roe04_F",248.5,1787,7.19,"3.34 ±1.45"
"Roe05_F",101.88,676,6.64,"3.62 ±1.18"
"Roe06_F",282.5,1938,6.86,"3.5 ±1.57"
"Roe07_F",52.92,368,6.95,"3.46 ±1.67"
"Roe08_M",250.5,1799,7.18,"3.34 ±1.42"
"Roe09_M",254.5,1821,7.16,"3.36 ±1.44"
"Roe10_F",270.5,1873,6.92,"3.47 ±1.6"
"Roe11_F",67.88,548,8.07,"2.98 ±0.15"
"Roe12_F",139.88,1120,8.01,"3 ±0.21"
"Roe13_F",280.5,1931,6.88,"3.49 ±1.53"
"Roe14_M",149.88,1201,8.01,"3 ±0.18"
"Roe15_F",282.5,1932,6.84,"3.51 ±1.59"
